id,title,description,image,locationLat,locationLng,duration,price
1,"Hidden City Food Tour","Explore local markets and hidden eateries with a local guide. Taste authentic street food and learn about culinary traditions.","https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400",48.8566,2.3522,"3 hours","€45"
2,"Street Art Cycling Ride","Bike through vibrant neighborhoods to see stunning street art and murals. Perfect for art enthusiasts and active travelers.","https://images.unsplash.com/photo-1499781350541-7783f6c6a0c8?w=400",48.8666,2.3300,"2.5 hours","€35"
3,"Rooftop Wine Tasting","Sample local wines on a hidden rooftop terrace with panoramic city views. Small group experience with sommelier.","https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?w=400",48.8606,2.3376,"2 hours","€55"
4,"Artisan Workshop Visit","Meet local craftspeople in their workshops. Watch traditional techniques and try your hand at creating something unique.","https://images.unsplash.com/photo-1452860606245-08befc0ff44b?w=400",48.8534,2.3488,"2 hours","€40"
5,"Jazz Club Evening","Experience authentic jazz in an intimate underground club frequented by locals. Includes a welcome drink.","https://images.unsplash.com/photo-1415201364774-f6f0bb35f28f?w=400",48.8584,2.3470,"3 hours","€30"
6,"Historic Walking Tour","Discover hidden courtyards and secret passages in the historic district with a passionate local historian.","https://images.unsplash.com/photo-1502602898657-3e91760cbb34?w=400",48.8530,2.3499,"2.5 hours","€25"
7,"Cooking Class Experience","Learn to prepare traditional local dishes in a charming kitchen studio with a professional chef.","https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400",48.8589,2.3469,"4 hours","€75"
8,"Secret Garden Visit","Explore hidden botanical gardens and private courtyards usually closed to the public.","https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=400",48.8505,2.3523,"2 hours","€20"
9,"Photography Walk","Capture the city's essence with a local photographer guide who knows the best hidden spots and lighting.","https://images.unsplash.com/photo-1471919743851-c4df8b6ee133?w=400",48.8587,2.3501,"3 hours","€50"
10,"Vintage Market Hunt","Hunt for unique treasures and vintage finds in local flea markets and antique shops.","https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=400",48.8571,2.3514,"2.5 hours","€15"
11,"Sunset Boat Tour","Enjoy breathtaking city views from the water during golden hour with complimentary drinks.","https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=400",48.8566,2.3522,"2 hours","€65"
12,"Local Music Session","Join local musicians for an intimate acoustic session in a cozy venue off the beaten path.","https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=400",48.8572,2.3489,"2.5 hours","€35"
13,"Artisanal Coffee Tour","Visit three specialty coffee roasters and learn about bean selection, roasting, and brewing techniques.","https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400",48.8599,2.3498,"3 hours","€40"
14,"Urban Sketching Class","Learn to draw architectural details and street scenes with an experienced artist guide.","https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=400",48.8588,2.3475,"2.5 hours","€45"
15,"Night Photography Tour","Capture stunning night scenes and learn advanced photography techniques in low light conditions.","https://images.unsplash.com/photo-1518709268805-4e9042af2176?w=400",48.8555,2.3539,"3 hours","€60"
